This church choir sings to the masses as they sing joyous songs from the book at a church.	The church has cracks in the ceiling.	neutral
This church choir sings to the masses as they sing joyous songs from the book at a church.	The church is filled with song.	entailment
This church choir sings to the masses as they sing joyous songs from the book at a church.	A choir singing at a baseball game.	contradiction
A woman with a green headscarf, blue shirt and a very big grin.	The woman is young.	neutral
A woman with a green headscarf, blue shirt and a very big grin.	The woman is very happy.	entailment
A woman with a green headscarf, blue shirt and a very big grin.	The woman has been shot.	contradiction
An old man with a package poses in front of an advertisement.	A man poses in front of an ad.	entailment
An old man with a package poses in front of an advertisement.	A man poses in front of an ad for beer.	neutral
An old man with a package poses in front of an advertisement.	A man walks by an ad.	contradiction
A statue at a museum that no seems to be looking at.	The statue is offensive and people are mad that it is on display.	neutral
A statue at a museum that no seems to be looking at.	There is a statue that not many people seem to be interested in.	entailment
A statue at a museum that no seems to be looking at.	Tons of people are gathered around the statue.	contradiction
A land rover is being driven across a river.	A Land Rover is splashing water as it crosses a river.	entailment
A land rover is being driven across a river.	A vehicle is crossing a river.	entailment
A land rover is being driven across a river.	A sedan is stuck in the middle of a river.	contradiction
A man playing an electric guitar on stage.	A man playing banjo on the floor.	contradiction
A man playing an electric guitar on stage.	A man playing guitar on stage.	entailment
A man playing an electric guitar on stage.	A man is performing for cash.	neutral
A blond-haired doctor and her African american assistant looking threw new medical manuals.	A doctor is looking at a book	entailment
A blond-haired doctor and her African american assistant looking threw new medical manuals.	A man is eating pb and j	contradiction
A blond-haired doctor and her African american assistant looking threw new medical manuals.	A doctor is studying	neutral
One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.	A boy runs into a wall	contradiction
One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.	A tan girl runs leans over an object	entailment
One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.	A man watches his daughter leap	neutral
A young family enjoys feeling ocean waves lap at their feet.	A young man and woman take their child to the beach for the first time.	neutral
A young family enjoys feeling ocean waves lap at their feet.	A family is out at a restaurant.	contradiction
A young family enjoys feeling ocean waves lap at their feet.	A family is at the beach.	entailment
A couple walk hand in hand down a street.	A couple is walking together.	entailment
A couple walk hand in hand down a street.	The couple is married.	neutral
A couple walk hand in hand down a street.	A couple is sitting on a bench.	contradiction
3 young man in hoods standing in the middle of a quiet street facing the camera.	Three people sit by a busy street bareheaded.	contradiction
3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment
3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people stand in a street.	entailment
A man reads the paper in a bar with green lighting.	The man is inside.	entailment
A man reads the paper in a bar with green lighting.	The man is reading the sportspage.	neutral
A man reads the paper in a bar with green lighting.	The man is climbing a mountain.	contradiction
Three firefighter come out of subway station.	Three firefighters putting out a fire inside of a subway station.	neutral
Three firefighter come out of subway station.	Three firefighters coming up from a subway station.	entailment
Three firefighter come out of subway station.	Three firefighters playing cards inside a fire station.	contradiction
A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.	A person is near a pile of coconuts.	entailment
A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.	A person is selling coconuts.	neutral
A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.	A person is burning a straw hat.	contradiction
Male in a blue jacket decides to lay in the grass.	The guy in yellow is rolling on the grass	contradiction
Male in a blue jacket decides to lay in the grass.	The guy wearing a blue jacket is laying on the green grass	entailment
Male in a blue jacket decides to lay in the grass.	The guy wearing a blue jacket is laying on the green grass taking a nap.	neutral
During calf roping a cowboy calls off his horse.	A first time roper falls off his horse.	neutral
During calf roping a cowboy calls off his horse.	Cowboy falling off horse.	-
During calf roping a cowboy calls off his horse.	A man ropes a calf successfully.	contradiction
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.	A boy is on a playground.	entailment
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.	The boy is playing on the swings after school.	neutral
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.	The boy is sitting on the school bus on his way home.	contradiction
A woman wearing a ball cap squats down to touch the cracked earth.	An archeologist wearing a hat squats to examine the site for a dig	neutral
A woman wearing a ball cap squats down to touch the cracked earth.	A squatting woman wearing a hat touching the ground.	entailment
A woman wearing a ball cap squats down to touch the cracked earth.	A woman wearing a sun bonnet planting a garden.	contradiction
Two children re laying on a rug with some wooden bricks laid out in a square between them.	Two children are building a brick furnace.	neutral
Two children re laying on a rug with some wooden bricks laid out in a square between them.	Two children are playing catch at a park.	contradiction
Two children re laying on a rug with some wooden bricks laid out in a square between them.	Two children are on a rug.	entailment
A man standing in front of a building on the phone as two men to the side pain on the side.	a guy near a building stands by two other men	entailment
